timestamp,confidence,label,snapshot,clip
2026-07-21T16:30:21,0.8687,violence,alert_20260721_163021.jpg,alert_20260721_163021.mp4
2026-07-21T16:30:36,0.9043,violence,alert_20260721_163036.jpg,alert_20260721_163036.mp4
2026-07-21T16:30:50,0.8135,violence,alert_20260721_163050.jpg,alert_20260721_163050.mp4
2026-07-21T16:31:02,0.6328,violence,alert_20260721_163102.jpg,alert_20260721_163102.mp4
2026-07-21T16:31:12,0.8748,violence,alert_20260721_163112.jpg,alert_20260721_163112.mp4
2026-07-21T16:31:22,0.9730,violence,alert_20260721_163122.jpg,alert_20260721_163122.mp4
2026-07-21T16:31:32,0.9777,violence,alert_20260721_163132.jpg,alert_20260721_163132.mp4
2026-07-21T16:31:43,0.8497,violence,alert_20260721_163142.jpg,alert_20260721_163142.mp4
2026-07-21T16:32:01,0.7352,violence,alert_20260721_163201.jpg,alert_20260721_163201.mp4
2026-07-21T16:32:12,0.6575,violence,alert_20260721_163212.jpg,alert_20260721_163212.mp4
2026-07-21T16:32:25,0.7307,violence,alert_20260721_163225.jpg,alert_20260721_163225.mp4
2026-07-21T16:32:35,0.6253,violence,alert_20260721_163235.jpg,alert_20260721_163235.mp4
2026-07-21T16:32:46,0.6013,violence,alert_20260721_163246.jpg,alert_20260721_163246.mp4
2026-07-21T16:32:56,0.7626,violence,alert_20260721_163256.jpg,alert_20260721_163256.mp4
2026-07-21T16:33:06,0.9261,violence,alert_20260721_163306.jpg,alert_20260721_163306.mp4
2026-07-21T17:43:07,0.6112,violence,alert_20260721_174307.jpg,alert_20260721_174307.mp4
2026-07-21T17:44:27,0.8573,violence,alert_20260721_174427.jpg,alert_20260721_174427.mp4
2026-07-21T18:00:16,0.9194,violence,alert_20260721_180016.jpg,alert_20260721_180016.mp4
2026-07-21T18:00:27,0.6607,violence,alert_20260721_180027.jpg,alert_20260721_180027.mp4
2026-07-21T18:00:37,0.7510,violence,alert_20260721_180037.jpg,alert_20260721_180037.mp4
